"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho35" -0.301050164953028 2.33182727707152e-09 0.0316238518413672 1.3202515778242e-49 "notsigdifferent" 0.636220136277529 378
"rho36" -0.199766897435787 0.00399163291278958 0.116918850431882 4.09806113544234e-34 "notsigdifferent" 0.417466592799123 206
"rho37" -0.292006069527787 1.89386430541454e-07 0.6758822669325 2.19188131216739e-26 "notsigdifferent" 0.0378628702243853 307
"rho38" -0.212124878589348 0.00096749979823106 0.0546912537802306 1.01020369225147e-57 "sigdifferent" 0.554960173660938 239
"rho39" -0.242839914932106 8.12117085075526e-05 0.20015344821351 4.87742819712491e-55 "sigdifferent" 0.303278574686914 258
"rho40" -0.244720203035667 3.25796387243514e-05 0.904322268071854 6.61900895197304e-45 "sigdifferent" 0.00318645900326721 282
"rho41" -0.19843370485297 0.000546094039527457 0.0049124165991939 6.9649152419025e-108 "sigdifferent" 0.821276119034759 300
"rho42" -0.129656355641182 0.0100815623923018 0.951603059496651 4.87573194871258e-97 "sigdifferent" 0.000489965216504327 393
"rho43" -0.237435496918891 3.83040180147782e-10 0.0869852599085637 4.89967638704729e-68 "sigdifferent" 0.20861894981974 678
"rho44" -0.200705514145377 2.76925544435948e-09 0.00104345168070901 3.61998292235473e-146 "sigdifferent" 0.522554164341685 862
"rho45" -0.121937459304107 0.0243310635684382 0.917003557807776 1.09041875422692e-55 "sigdifferent" 0.00239586311027831 341
"rho46" -0.18414782442024 0.00397104246754228 0.32595179607975 5.32213910951082e-69 "sigdifferent" 0.16012594171231 243
"rho47" -0.172250207356913 0.00572378442480004 0.206607071306007 1.61938937624396e-39 "sigdifferent" 0.250402562089557 256
"rho48" -0.232812810522985 6.20549390994188e-06 0.247296934793964 6.35539056632461e-20 "notsigdifferent" 0.185400963053545 369
"rho49" -0.18159744357338 4.18250204978148e-12 0.0583216787896053 5.06822314789976e-76 "notsigdifferent" 0.24893143144919 1435
"rho50" -0.265032138624801 2.96009090791297e-05 0.494748867075376 4.20617958745661e-36 "sigdifferent" 0.0809039923418106 242
"rho51" -0.0765989754971174 0.0287702596957462 0.621535377054603 6.66658433625382e-126 "sigdifferent" 0.0431591859770854 815
"rho52" -0.3334192039406 6.89804006564235e-22 0.293974465554508 1.14329890277692e-109 "notsigdifferent" 0.180562817309249 787
"rho53" -0.180324182002894 4.03675360658258e-08 0.0908715005362098 2.05479917758276e-157 "sigdifferent" 0.204157692454381 914
"rho54" -0.219674949621124 4.66403453221059e-07 7.39796828758698e-06 0 "sigdifferent" 0.986371652024828 516
"rho55" 0.0310371878435037 0.37975368644999 0.414492508553058 2.37892351892737e-95 "sigdifferent" 0.0420240685201705 803
"rho56" -0.10712202994638 5.41937697298449e-07 2.11321875727717e-06 3.0832043704404e-134 "notsigdifferent" 0.832612343374195 2178
"rho57" -0.205506579920757 4.10818760727658e-08 0.0324498224704267 1.80559893867841e-36 "notsigdifferent" 0.287000450692879 700
"rho58" -0.0784569403508 0.00125949002461158 0.200174583300185 5.26488896154614e-90 "notsigdifferent" 0.222244336137473 1687
"rho59" -0.179184863757218 6.68243891196673e-06 0.00111431594348655 1.46459115319732e-69 "sigdifferent" 0.800961644343755 624
"rho60" -0.179322113100091 0.000608353927612328 0.010287737453709 4.995075650354e-11 "notsigdifferent" 0.693380371352207 362
"rho61" 0.0329920655807569 0.284565373322999 0.000829742225367594 1.4845443980942e-57 "notsigdifferent" 0.864002330656365 1054
"rho62" -0.20199004632558 0.000113845789373011 3.17919939587499e-05 3.44275734350298e-05 "notsigdifferent" 0.95359262074044 360
"rho63" -0.0952831118840797 0.00437394053882807 0.000676832003278617 7.06862970732387e-145 "sigdifferent" 0.917857738128394 893
"rho64" -0.311012508066151 1.46826847136684e-16 0.19507866846533 2.77808908873236e-61 "sigdifferent" 0.125532803417649 673
"rho65" -0.133583646308716 0.0238618684733027 0.0167567666061812 5.79644974575586e-31 "notsigdifferent" 0.582276334467599 286
"rho66" -0.186203304227253 6.49144470669153e-15 0.0227539225620342 2.31375331999174e-73 "notsigdifferent" 0.318543425443302 1724
"rho67" -0.114247591365397 0.00140287537489414 0.00011481379690547 5.16503296972829e-69 "sigdifferent" 0.666302513994428 779
