"ppw" "exp"
"247" -0.107067986029769 "MMP"
"248" -0.446467077664975 "MMP"
"249" -0.107067986029769 "MMP"
"250" -0.214133830699818 "MMP"
"251" 0 "MMP"
"252" -0.10707012738949 "MMP"
"253" -0.446464936305255 "MMP"
"254" -0.553532922335024 "MMP"
"255" -0.107065844670049 "MMP"
"256" -0.107065844670049 "MMP"
"257" -0.21413811341926 "MMP"
"258" -0.10707012738949 "MMP"
"259" -0.339394808915765 "MMP"
"260" 0 "MMP"
"261" 0 "MMP"
"262" -0.214138113419259 "MMP"
"263" -0.232326822885996 "MMP"
"264" -0.446464936305255 "MMP"
"265" -0.446464936305256 "MMP"
"266" -0.214133830699818 "MMP"
"267" -0.107065844670049 "MMP"
"268" -0.553535063694744 "MMP"
"269" -0.553532922335024 "MMP"
"270" -0.214133830699818 "MMP"
"271" -0.214138113419259 "MMP"
"272" -0.446464936305256 "MMP"
"273" 0 "MMP"
"274" 0 "MMP"
"275" -0.107065844670049 "MMP"
"276" -0.553532922335024 "MMP"
"277" -0.446464936305255 "MMP"
"278" -0.553532922335024 "MMP"
"279" -0.785864027940462 "MMP"
"280" -0.446464936305256 "MMP"
"281" -0.214133830699818 "MMP"
"282" -0.214135972059538 "MMP"
"283" -0.446467077664975 "MMP"
"284" -0.339394808915765 "MMP"
"285" -0.446467077664975 "MMP"
"286" -0.214138113419259 "MMP"
"287" -0.892932013970231 "MMP"
"288" -0.553535063694744 "MMP"
"289" -0.678796041910693 "MMP"
"290" -0.446464936305256 "MMP"
"291" -0.553535063694744 "MMP"
"292" -0.446467077664975 "MMP"
"293" -0.446467077664975 "MMP"
"294" -0.214138113419259 "MMP"
"295" -0.446464936305256 "MMP"
"296" -0.446467077664976 "MMP"
"297" -0.553532922335025 "MMP"
"298" -0.553532922335024 "MMP"
"299" -0.214135972059538 "MMP"
"300" -0.107067986029769 "MMP"
"301" -0.553532922335024 "MMP"
"302" -0.214138113419259 "MMP"
"303" -0.446464936305256 "MMP"
"304" -0.107067986029769 "MMP"
"305" -0.553535063694745 "MMP"
"306" -0.553532922335024 "MMP"
"307" -0.660598767005073 "MMP"
"308" -0.89292987261051 "MMP"
"309" -0.446467077664976 "MMP"
"310" -0.107067986029769 "MMP"
"311" -0.553535063694745 "MMP"
"312" -0.446467077664976 "MMP"
"313" -0.446467077664975 "MMP"
"314" -0.446464936305255 "MMP"
"315" -0.446464936305255 "MMP"
"316" -0.446464936305255 "MMP"
"317" -0.446464936305255 "MMP"
"318" -0.339399091635206 "MMP"
"319" -0.446464936305255 "MMP"
"320" -0.446464936305256 "MMP"
"321" -0.107067986029769 "MMP"
"322" -0.446464936305256 "MMP"
"323" -0.339399091635206 "MMP"
"324" -0.446464936305256 "MMP"
"325" -0.785864027940462 "MMP"
"326" -0.446464936305256 "MMP"
"327" -0.446464936305256 "MMP"
"328" -0.446464936305256 "MMP"
"329" -0.446464936305256 "MMP"
"330" -0.339394808915765 "MMP"
"331" -0.446464936305256 "MMP"
"332" -0.446464936305256 "MMP"
"333" -0.553535063694744 "MMP"
"334" -0.446464936305255 "MMP"
"335" -0.446464936305256 "MMP"
"336" -0.339394808915765 "MMP"
"337" -0.89292987261051 "MMP"
"338" -0.553532922335025 "MMP"
"339" -0.339396950275486 "MMP"
"340" -0.446464936305255 "MMP"
"341" -0.446464936305255 "MMP"
"342" -0.446464936305255 "MMP"
"343" -0.553532922335025 "MMP"
"344" -0.553532922335024 "MMP"
"345" -0.553535063694745 "MMP"
"346" -0.446467077664975 "MMP"
"347" -0.660600908364794 "MMP"
"348" -0.553532922335024 "MMP"
"349" -0.214133830699818 "MMP"
"350" -0.321201816729587 "MMP"
"351" -0.232331105605438 "MMP"
"352" -0.232326822885996 "MMP"
"353" -0.107067986029769 "MMP"
"354" -0.446464936305255 "MMP"
"355" -0.446464936305256 "MMP"
"356" -0.107067986029769 "MMP"
"357" -0.446464936305256 "MMP"
"358" 0.107065844670049 "MMP"
"359" -0.232328964245717 "MMP"
"360" -0.125263119575669 "MMP"
"361" -0.446464936305256 "MMP"
"362" -0.107067986029769 "MMP"
"363" -0.446467077664975 "MMP"
"364" -0.446467077664975 "MMP"
"365" -0.107065844670049 "MMP"
"366" 0 "MMP"
"367" -0.107067986029769 "MMP"
"368" -0.107065844670049 "MMP"
"369" -0.446467077664975 "MMP"
"370" 0 "MMP"
"371" -0.553532922335024 "MMP"
"372" 0 "MMP"
"373" 0 "MMP"
"374" 0 "MMP"
"375" 0 "MMP"
"376" -0.107065844670049 "MMP"
"377" 0 "MMP"
"378" -0.107065844670049 "MMP"
"379" 0.107067986029769 "MMP"
"380" 0 "MMP"
"381" -0.107065844670049 "MMP"
"382" -0.107065844670049 "MMP"
"383" 0 "MMP"
"384" 0 "MMP"
"385" 0 "MMP"
"386" -0.321206099449028 "MMP"
"387" -0.339399091635206 "MMP"
"388" -0.107067986029769 "MMP"
"389" 0 "MMP"
"390" 0.107065844670049 "MMP"
"391" -0.446467077664975 "MMP"
"392" 0 "MMP"
"393" 0 "MMP"
"394" 0 "MMP"
"395" -0.125260978215947 "MMP"
"396" -0.214138113419259 "MMP"
"397" -0.446464936305255 "MMP"
"398" -0.446467077664975 "MMP"
"399" 0 "MMP"
"400" -0.107067986029769 "MMP"
"401" 0 "MMP"
"402" -0.446467077664976 "MMP"
"403" -0.428271944119077 "MMP"
"404" -0.339396950275486 "MMP"
"405" -0.107067986029769 "MMP"
"406" -0.446467077664976 "MMP"
"407" 0.107067986029769 "MMP"
"408" 0 "MMP"
"409" -0.553532922335025 "MMP"
"410" -0.553532922335025 "MMP"
"411" -0.446467077664975 "MMP"
"412" -0.10707012738949 "MMP"
"413" -0.214135972059538 "MMP"
"414" -0.339394808915765 "MMP"
"415" -0.107065844670049 "MMP"
"416" -0.214133830699818 "MMP"
"417" -0.10707012738949 "MMP"
"418" 0 "MMP"
"419" -0.107065844670049 "MMP"
"420" -0.232326822885996 "MMP"
"421" -0.10707012738949 "MMP"
"422" -0.553532922335024 "MMP"
"423" -0.446467077664975 "MMP"
"424" -0.428271944119077 "MMP"
"425" -0.321203958089308 "MMP"
"426" -0.107065844670049 "MMP"
"427" -0.107065844670049 "MMP"
"428" 0 "MMP"
"429" -0.446467077664975 "MMP"
"430" -0.339396950275486 "MMP"
"431" -0.107067986029769 "MMP"
"432" -0.10707012738949 "MMP"
"433" 0 "MMP"
"434" -0.553532922335024 "MMP"
"435" -0.107065844670049 "MMP"
"436" 0 "MMP"
"437" -0.107067986029769 "MMP"
"438" -0.446467077664976 "MMP"
"439" 0 "MMP"
"440" -0.107067986029769 "MMP"
"441" -0.339396950275486 "MMP"
"442" -0.446467077664976 "MMP"
"443" -0.339399091635207 "MMP"
"444" -0.107067986029769 "MMP"
"445" 0 "MMP"
"446" -0.107067986029769 "MMP"
"447" -0.107067986029769 "MMP"
"448" -0.107067986029769 "MMP"
"449" -0.446467077664976 "MMP"
"450" 0 "MMP"
"451" -0.446467077664975 "MMP"
