Name	Cusps	OPC	 
9665	0	8.5	
5910	1	10.5	
14675	0	9.5	
1655	0	9.5	
5923	1	11.5	
14545	1	10.5	
295	1	10.5	
1666	0	7.0	
9656	0	8.5	
156	0	10.5	
11835	0	8.25	
6513	0	5.5	
955	1	10.0	
14244	0	9.25	
9381	0	9.375	
11637	0	7.5	
8257	1	11.25	
7112	1	11.75	
11136	1	8.5	
8780	1	15.75	
6201	1	13.5	
16915	1	8.5	
13364	1	8.25	
18252	1	22.5	
6678	1	13.0	
9493	0	9.5	
2893	1	10.375	
1174	0	9.25	
12984	1	11.5	
18553	0	9.75	
13465	0	11.0	
9144	1	17.25	
7600	0	9.375	
16016	1	9.0	
3945	1	16.75	
8092	0	6.25	
12786	1	9.875	
12087	0	9.5	
8545	0	10.5	
16717	1	21.5	
16427	0	9.25	
13957	1	10.5	
18861	1	24.75	
867	1	17.25	
7633	1	9.0	
16326	0	9.25	
3976	0	5.75	
9177	1	10.625	
1147	0	9.75	
18663	0	9.25	
13755	0	9.25	
13054	0	8.0	
18162	1	13.25	
6232	0	8.75	
1490	1	18.25	
13634	0	8.0	
18702	0	9.5	
2968	1	18.5	
6254	1	9.5	
1558	1	19.0	
9568	1	11.75	
18003	1	11.25	
1121	1	18.0	
13135	1	13.0	
6783	1	8.75	
7655	0	11.5	
16546	1	10.25	
3910	1	11.5	
8510	1	8.5	
16247	1	11.75	
7382	0	9.0	
18900	1	16.0	
8169	0	3.75	
13836	0	11.0	
756	1	10.5	
8523	0	10.5	
16177	1	12.875	
7666	1	10.5	
495	0	9.25	
16676	1	19.5	
3923	0	6.25	
18333	1	12.25	
1112	1	17.0	
13205	1	11.75	
17595	0	9.5	
16874	1	8.375	
9122	0	7.5	
6267	1	24.75	
17294	0	10.5	
13504	1	26.5	
18432	0	10.875	
9597	0	10.0	
2839	1	8.5	
12324	0	9.25	
17955	1	9.5	
6305	0	10.25	
9040	1	10.5	
1409	0	8.0	
12425	1	11.5	
1070	1	18.0	
9439	1	9.0	
2997	1	8.75	
8196	1	8.5	
3841	0	9.5	
17056	1	15.0	
7704	0	9.5	
829	1	10.5	
17757	0	3.75	
8441	1	10.5	
8038	1	10.375	
7699	1	11.75	
17467	0	9.5	
16986	1	9.5	
8472	0	8.5	
3872	1	9.5	
17366	1	9.25	
7737	1	14.25	
12917	0	9.5	
12715	0	10.5	
1043	0	9.375	
603	1	12.0	
9073	1	9.25	
6298	1	8.25	
16085	1	19.875	
16784	0	9.25	
1594	0	4.75	
6336	1	15.5	
12014	0	9.75	
6350	1	12.0	
6729	1	11.25	
12674	1	9.5	
6687	1	11.5	
12175	0	6.75	
1025	1	9.5	
9015	1	10.5	
3814	0	9.75	
17506	1	10.5	
718	0	8.0	
7751	1	9.0	
7328	0	2.75	
13296	0	18.25	
12876	0	9.75	
13597	0	10.5	
7286	1	10.5	
16	0	9.75	
17207	0	10.0	
8414	0	8.0	
3989	1	12.75	
17137	0	7.5	
8427	1	41.5	
18791	1	8.5	
18090	1	9.75	
3827	0	6.5	
17636	1	16.125	
8589	1	16.5	
7762	1	14.5	
9026	1	10.25	
17834	0	8.0	
12245	1	8.5	
1016	1	10.25	
932	1	12.0	
12544	0	8.25	
18993	0	9.5	
6363	0	9.5	
131	1	12.75	
9188	0	9.5	
5840	0	4.5	
1705	1	10.5	
15375	1	26.25	
10904	1	10.5	
9735	0	9.5	
6470	0	9.75	
15474	1	10.5	
6009	0	8.5	
14995	1	9.5	
14797	1	9.75	
8334	0	9.5	
4838	1	23.0	
10007	0	9.25	
7071	1	10.5	
4996	0	9.5	
10706	1	9.75	
14096	1	10.75	
7408	1	9.5	
7042	0	9.75	
10436	1	10.0	
8307	0	7.25	
10337	0	5.75	
7595	0	10.5	
15946	1	8.125	
1698	0	4.75	
15744	0	9.375	
940	1	9.5	
143	0	10.0	
6443	1	21.75	
9706	0	8.75	
5873	1	10.5	
280	0	9.5	
1736	0	9.5	
15045	1	11.25	
6194	0	9.0	
1329	1	9.5	
18598	1	19.5	
9760	0	9.375	
9319	1	28.0	
5815	1	10.5	
1750	0	10.0	
15625	1	22.0	
15124	1	16.5	
6425	1	30.5	
18299	1	10.5	
1287	1	14.25	
8361	1	10.375	
10557	1	9.5	
8718	1	10.5	
15827	1	8.5	
62	1	16.5	
7024	0	9.0	
10256	0	6.25	
7017	1	13.0	
10166	0	10.5	
8685	1	8.5	
8352	1	15.625	
10667	1	8.375	
6416	1	9.5	
10865	0	8.75	
11584	1	10.5	
15214	1	9.375	
5988	0	10.5	
5826	1	16.875	
671	1	9.25	
1763	1	9.0	
15515	0	10.0	
11285	0	9.25	
9753	1	14.0	
9631	0	9.25	
11944	0	9.75	
1278	1	11.75	
14335	1	8.5	
1601	0	9.75	
9248	1	9.5	
5944	1	18.0	
14434	1	11.25	
6574	1	12.5	
11047	1	19.5	
8230	1	12.5	
8649	0	9.5	
11746	1	11.25	
4892	1	9.0	
7175	0	6.25	
10997	0	9.5	
11476	1	19.5	
7146	1	11.875	
724	0	9.5	
7491	0	3.25	
11377	0	8.5	
8203	1	9.5	
18958	1	8.75	
10094	0	9.5	
6547	1	9.25	
14704	1	10.5	
6090	1	9.25	
14005	0	3.25	
1632	0	9.25	
5977	1	9.375	
9602	1	10.5	
10795	1	11.25	
14665	1	11.5	
1654	1	9.25	
5911	0	3.75	
9664	0	8.0	
18839	0	9.375	
1383	1	15.5	
6521	1	10.5	
6158	0	4.25	
15287	0	9.25	
11517	1	8.375	
8265	1	12.25	
4969	1	12.75	
11216	0	9.25	
7120	0	8.75	
7559	0	9.5	
15586	0	9.5	
14867	1	23.0	
815	0	10.0	
8781	1	10.5	
11126	1	15.125	
7113	0	9.5	
11627	0	9.5	
8256	1	9.5	
9380	0	8.5	
14254	1	10.25	
11825	0	7.0	
6512	1	14.0	
9657	1	10.125	
14555	1	10.5	
1667	0	8.5	
5922	1	10.25	
8809	1	23.25	
4305	1	9.5	
14571	0	9.25	
15890	1	8.25	
3070	1	13.75	
14270	0	10.0	
3409	0	9.0	
11801	0	9.5	
5704	0	10.25	
11603	0	9.5	
13318	1	9.375	
16969	1	9.75	
17488	1	10.25	
15193	0	8.75	
9871	0	9.5	
2471	0	9.5	
15692	1	9.5	
17389	1	8.5	
13419	1	8.5	
11102	1	10.375	
2008	1	8.5	
13729	1	16.25	
11232	0	9.0	
5699	0	9.5	
2442	1	10.5	
14843	0	9.5	
9842	1	33.25	
2195	1	15.25	
5737	1	9.25	
11533	1	8.5	
13028	0	10.0	
1872	0	8.5	
8994	1	18.75	
4298	1	9.5	
403	1	9.25	
3043	0	10.5	
14140	1	13.5	
14641	1	13.625	
3594	1	12.625	
4336	1	11.75	
4729	1	13.25	
14021	0	10.25	
4350	1	17.125	
4687	1	18.5	
14720	1	14.75	
3025	1	16.5	
14922	0	9.5	
9824	1	11.5	
5328	1	14.25	
5751	1	12.75	
1814	1	8.5	
13648	0	9.25	
11353	0	9.5	
518	1	10.5	
11452	1	10.5	
13149	1	14.25	
5286	1	11.75	
36	0	9.0	
2424	1	8.0	
2417	1	12.25	
16808	0	8.0	
1989	1	17.0	
11762	1	17.5	
13279	1	10.5	
5762	1	12.0	
13578	0	6.5	
1827	1	9.5	
11063	1	11.75	
12899	1	9.0	
9817	1	9.5	
14410	1	8.75	
3016	0	9.25	
10380	1	10.25	
331	0	9.5	
11960	0	7.25	
10481	1	11.125	
4363	0	8.75	
14311	0	9.25	
4678	1	17.5	
15531	0	9.0	
4201	1	9.375	
10841	1	10.25	
15230	0	10.25	
3174	0	8.75	
9975	0	8.5	
5279	1	10.25	
17929	1	12.0	
1945	0	9.5	
12358	1	9.5	
10643	0	10.5	
5600	1	9.25	
10142	1	17.25	
12459	1	8.75	
2575	1	10.5	
15803	1	9.5	
2546	0	8.25	
10272	0	9.5	
12769	1	8.5	
11892	1	12.75	
12068	0	10.5	
1976	1	13.5	
10573	1	10.25	
264	1	8.5	
5633	0	7.25	
2091	1	8.0	
9946	1	19.5	
15100	1	10.5	
3147	1	10.25	
8890	1	10.5	
11690	1	20.5	
11191	1	12.75	
4232	0	10.5	
3490	0	10.5	
15601	2	32.125	
8958	1	13.5	
4254	1	11.0	
15061	1	10.5	
3121	0	9.5	
15760	1	10.375	
4783	0	9.75	
3558	1	10.5	
10313	0	9.5	
1910	1	10.375	
12608	1	11.5	
5655	1	11.25	
9920	1	8.5	
16198	1	11.5	
14483	0	9.375	
15962	1	11.0	
14382	1	9.5	
16699	1	13.125	
2520	1	11.25	
5382	0	9.5	
2159	1	8.5	
12109	1	11.0	
10412	1	10.25	
12239	1	8.5	
10722	0	9.5	
17848	0	9.5	
556	0	8.5	
2513	0	5.25	
9913	1	14.75	
10023	1	11.625	
12538	0	9.5	
1923	0	15.125	
695	1	10.5	
5666	1	10.5	
3112	1	8.25	
15450	1	10.75	
15351	1	12.5	
4267	1	10.5	
10920	1	10.0	
7944	1	11.25	
13881	1	10.5	
12560	1	8.5	
3601	1	14.125	
3278	1	11.625	
17810	0	4.75	
4574	0	3.75	
12261	1	8.5	
2200	1	11.75	
11499	0	10.0	
13182	1	21.75	
10978	0	9.5	
17612	0	7.5	
15309	0	5.75	
2679	1	10.25	
5175	0	9.5	
15408	1	9.0	
17113	1	11.375	
6892	0	9.5	
13683	0	9.75	
11398	0	10.5	
18485	0	9.25	
12852	0	9.5	
5146	1	24.5	
15738	1	19.0	
17223	1	11.25	
17522	0	9.5	
15039	0	10.5	
5491	0	8.25	
2233	1	10.5	
524	0	10.0	
18384	0	9.5	
12151	1	8.75	
4547	1	11.75	
7977	1	10.25	
4090	1	9.5	
12650	1	10.5	
3632	0	10.5	
7911	0	9.5	
3654	0	5.5	
12731	0	9.5	
4158	0	3.75	
3383	0	9.375	
4521	1	13.75	
6969	1	9.5	
17342	1	11.0	
2255	1	8.5	
12933	1	11.5	
5559	1	8.5	
2782	1	9.5	
5120	1	10.0	
17443	0	9.125	
15158	0	8.5	
5113	0	9.75	
216	1	11.375	
17773	1	20.25	
15268	1	11.5	
10819	1	9.125	
2266	1	10.5	
14888	0	8.75	
15569	0	9.25	
17072	1	9.5	
4512	1	9.5	
16391	1	15.0	
12401	0	6.5	
7922	1	19.5	
3667	1	10.5	
12300	0	4.75	
16490	0	9.75	
17971	1	10.5	
3705	0	5.5	
13520	1	21.75	
18416	1	8.5	
7840	1	22.75	
18317	1	35.25	
13221	0	9.25	
4009	1	10.5	
4470	1	10.25	
16850	0	9.5	
14349	0	5.75	
6838	1	17.0	
16652	1	16.0	
11938	1	12.25	
2304	1	10.5	
5408	0	5.5	
6996	1	10.25	
16153	1	10.25	
14448	0	9.0	
5071	1	13.0	
16263	0	8.75	
14778	1	12.25	
5042	1	25.125	
2299	1	10.5	
18924	1	29.0	
13812	1	10.25	
2337	1	21.25	
5595	1	10.25	
14079	1	10.5	
16562	0	9.5	
17883	0	10.5	
4443	1	10.75	
17681	0	9.5	
343	0	9.0	
18027	0	17.75	
3698	0	18.75	
13111	1	9.0	
3736	1	10.375	
13610	1	8.25	
4194	0	9.25	
18726	1	19.75	
7873	1	16.25	
883	0	8.5	
17180	1	14.5	
13070	1	8.0	
3750	1	9.5	
18146	0	9.0	
7815	1	10.0	
3329	0	3.0	
4425	0	9.0	
3287	1	11.5	
18647	1	16.125	
13771	1	9.5	
258	1	10.25	
