"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho29" -0.809039834955891 0.0275341805145111 0.0141378885895445 0.021108051173463 "notsigdifferent" 0.812302592768546 13
"rho30" -0.71374642714633 0.0204390370077823 0.00611103654357071 0.00206648404669002 "notsigdifferent" 0.87511200509544 15
"rho31" -0.919102202395081 6.33942763185535e-05 0.000502311801685574 0.00845105796797595 "notsigdifferent" 0.79752372780184 15
"rho32" -0.4785609959637 0.0208855662585721 0.0188363390829855 0.108425630808367 "notsigdifferent" 0.569072232853611 51
"rho33" -0.0676631334319845 0.737371717007987 0.0192240430885537 0.290245165910093 "notsigdifferent" 0.473620184590438 39
"rho34" -0.66804061533704 0.0701951659056952 0.018509029196701 0.0672830470884073 "notsigdifferent" 0.702526161734171 15
"rho35" -0.583920130037775 0.0763303999389238 0.0322007759545019 0.16950335814374 "notsigdifferent" 0.562098014552905 13
"rho36" -0.121875 0.737323241095128 0.0357267679395339 0.115929009966587 "notsigdifferent" 0.619357489096001 19
"rho37" -0.34913103917796 0.202142793546897 0.0693684120289325 0.296761941288961 "notsigdifferent" 0.515101074249644 20
"rho38" -0.527435903976738 0.0954437831970881 0.0114375422744861 0.162288883851118 "notsigdifferent" 0.622888684117079 14
"rho39" -0.763762615825973 0.027396043909112 0.00380492634593546 0.0243891433328334 "notsigdifferent" 0.776931299878416 10
"rho40" -0.770051379542122 0.0732351281317064 0.0386226876828693 0.0646289127610582 "notsigdifferent" 0.806015072551785 10
"rho41" -0.625741569192526 0.0970224558250037 0.0200970319096195 0.130550949213438 "notsigdifferent" 0.62150915956223 12
"rho42" -0.458349248514106 0.214669447642145 0.0101755234999391 0.0762500453192701 "notsigdifferent" 0.694444602711415 12
"rho43" -0.103980117965858 0.613211327884588 0.0169283799992036 0.164530708987556 "notsigdifferent" 0.530329598758076 35
"rho44" -0.948683298050514 0.0513167019494862 0.0591882298669176 0.0499698703489239 "notsigdifferent" 0.885126786820944 10
"rho45" -0.376545611201774 0.0924780581995846 0.00479822093644344 0.00869334553440462 "notsigdifferent" 0.70211266396484 39
"rho46" -0.853310335187925 0.0306985629726778 0.0081713318026324 0.0152934211802516 "notsigdifferent" 0.856097650806491 11
"rho47" -1 0.333333333333333 0.266458426600861 0.232046493541795 "sigdifferent" 0.834808316269203 10
"rho48" -1 1 NA NA "sigdifferent" 1 11
"rho49" -0.405653540007416 0.318720756026118 0.0122479959258166 0.0131827773171534 "notsigdifferent" 0.824869093918619 19
"rho50" -0.809039834955891 0.0275341805145111 0.0212221983815159 0.0286343583077951 "notsigdifferent" 0.771887357678949 22
"rho51" -0.69774359090702 0.0543309953125189 0.00732270728261922 0.0176694309196774 "notsigdifferent" 0.791392555824345 14
"rho52" -0.838307340612269 0.0184707650688541 0.00758072587438995 0.00107122553625109 "sigdifferent" 0.932608842181502 26
"rho53" -0.773020682523926 0.0244838825146554 0.0055598459632333 0.00295118274350786 "notsigdifferent" 0.880753125261581 19
"rho54" -0.324430336193348 0.330362620185995 0.0334196813320477 0.173428243923224 "notsigdifferent" 0.55708369633547 18
"rho55" -0.514035282127066 0.0416569367544185 0.0114149275170989 0.123734010335374 "notsigdifferent" 0.571513123166886 20
"rho56" -0.548821299948452 0.158922793699263 0.015910781940111 0.0479998973169726 "notsigdifferent" 0.719118459931338 13
"rho57" -0.462998226549963 0.129574804005284 0.00524351165685051 0.0768594755324906 "notsigdifferent" 0.598006374534562 35
"rho58" -0.764217101207358 0.0100589835968317 0.00464892895659613 0.00667139434473019 "notsigdifferent" 0.825063529344105 22
"rho59" -0.857492925712544 0.0290153635313838 0.0268808689864689 0.022150847509601 "notsigdifferent" 0.846227711700913 13
"rho60" -0.788893491655541 0.0621448549200896 0.0754665014492596 0.086254290161264 "notsigdifferent" 0.704360281957866 12
"rho61" -0.598184171287097 0.0143768176999867 0.00582527148771248 0.00943754958904327 "notsigdifferent" 0.744214858448127 32
"rho62" -0.291976158588875 0.482862705656671 0.03788338714711 0.0740032192348795 "notsigdifferent" 0.699842320714369 19
